Cycle,Label Set Size,Backward Steps,Accuracy,Precision,Recall,F1
1,1000,332,18.947368748630513,0.19477900128920952,0.18947368421052632,0.15950322918320547
2,2000,492,26.14958425506,0.2857234417188141,0.2614958448753463,0.24556420380351962
3,3000,732,34.51523593257999,0.3605211055480066,0.34515235457063714,0.3394433157919729
4,4000,1052,42.548477320789964,0.44167036642329377,0.42548476454293627,0.4232882059311043
5,5000,1452,49.08587327360116,0.49684709808410615,0.49085872576177286,0.4888788944729572
6,6000,1922,60.387811856256626,0.6048969353054089,0.6038781163434903,0.6021828953683459
7,7000,2472,71.63434953768828,0.7199274728767935,0.7163434903047091,0.7161299366272942
8,8000,3102,81.60664904480826,0.8169085974789757,0.8160664819944599,0.8155127123695979
9,9000,3812,89.19667602708135,0.8929602876106599,0.8919667590027701,0.8919589725273849
10,9025,4522,95.84487403594886,0.9589143766809236,0.9584487534626038,0.9584684813102343
